idUsuario,nome,estado,telefone,dataNascimento,cidade,email,apelido,pais,foto,nivel,numeroAvaliacoes,IDTipoGeneroFK,IDFonteFK
276425,handrezza,NULL,NULL,NULL,NULL,NULL,handrezza,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
219310,"Edna Lopes",NULL,NULL,NULL,NULL,NULL,"Edna Lopes",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,93,2,6
128316,marcos,NULL,NULL,NULL,NULL,NULL,marcos,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
276606,aurelio,NULL,NULL,NULL,NULL,NULL,aurelio,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
128941,karina,NULL,NULL,NULL,NULL,NULL,karina,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
148492,estephane,NULL,NULL,NULL,NULL,NULL,estephane,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128439,priscila,NULL,NULL,NULL,NULL,NULL,priscila,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
276607,deybson,NULL,NULL,NULL,NULL,NULL,deybson,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
276609,evandra,NULL,NULL,NULL,NULL,NULL,evandra,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
128794,victor,NULL,NULL,NULL,NULL,NULL,victor,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
224918,jacirema,NULL,NULL,NULL,NULL,NULL,jacirema,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
128314,adriane,NULL,NULL,NULL,NULL,NULL,adriane,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128413,tiago,NULL,NULL,NULL,NULL,NULL,tiago,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
128406,sergio,NULL,NULL,NULL,NULL,NULL,sergio,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
276611,ariandy,NULL,NULL,NULL,NULL,NULL,ariandy,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
276780,"ACLOG TRANSPORTES LTDA",NULL,NULL,NULL,NULL,NULL,"ACLOG TRANSPORTES LTDA",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,3,3,6
276779,"Maria Júlia Moura",NULL,NULL,NULL,NULL,NULL,"Maria Júlia Moura",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,39,1,6
